group,sample,duration,channels,frames,rate,file
elec,elec_triangle,0.223,1,9832,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_triangle.flac
elec,elec_twang,0.624,2,27532,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_twang.flac
elec,elec_twip,0.101,2,4472,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_twip.flac
elec,elec_wood,0.478,1,21085,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/elec_wood.flac
guit,guit_e_fifths,5.972,2,263356,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/guit_e_fifths.flac
guit,guit_e_slide,4.325,1,190741,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/guit_e_slide.flac
guit,guit_em9,9.972,2,439768,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/guit_em9.flac
guit,guit_harmonics,3.532,1,155773,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/guit_harmonics.flac
loop,loop_3d_printer,7.959,2,351000,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/loop_3d_printer.flac
loop,loop_amen,1.753,2,77321,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/loop_amen.flac
loop,loop_amen_full,6.857,2,302400,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/loop_amen_full.flac
loop,loop_breakbeat,1.905,2,84000,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/loop_breakbeat.flac
loop,loop_compus,6.486,2,286054,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/loop_compus.flac
loop,loop_drone_g_97,4.948,2,218227,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/loop_drone_g_97.flac
loop,loop_electric,2.474,2,109114,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/loop_electric.flac
loop,loop_garzul,8.0,2,352800,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/loop_garzul.flac
loop,loop_industrial,0.884,2,38973,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/loop_industrial.flac
loop,loop_mehackit1,2.474,2,109114,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/loop_mehackit1.flac
loop,loop_mehackit2,2.474,2,109114,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/loop_mehackit2.flac
loop,loop_mika,8.0,2,352800,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/loop_mika.flac
loop,loop_perc1,2.474,2,109114,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/loop_perc1.flac
loop,loop_perc2,2.474,2,109114,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/loop_perc2.flac
loop,loop_safari,8.005,2,353024,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/loop_safari.flac
loop,loop_tabla,10.674,2,470723,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/loop_tabla.flac
loop,loop_weirdo,4.948,2,218227,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/loop_weirdo.flac
mehackit,mehackit_phone1,1.237,2,54557,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/mehackit_phone1.flac
mehackit,mehackit_phone2,1.273,2,56122,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/mehackit_phone2.flac
mehackit,mehackit_phone3,1.837,2,81000,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/mehackit_phone3.flac
mehackit,mehackit_phone4,1.531,2,67501,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/mehackit_phone4.flac
mehackit,mehackit_robot1,0.928,2,40935,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/mehackit_robot1.flac
mehackit,mehackit_robot2,1.023,2,45118,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/mehackit_robot2.flac
mehackit,mehackit_robot3,1.224,2,54000,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/mehackit_robot3.flac
mehackit,mehackit_robot4,2.0,2,88200,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/mehackit_robot4.flac
mehackit,mehackit_robot5,1.5,2,66150,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/mehackit_robot5.flac
mehackit,mehackit_robot6,2.474,2,109114,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/mehackit_robot6.flac
mehackit,mehackit_robot7,0.503,2,22165,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/mehackit_robot7.flac
misc,misc_burp,0.793,1,34984,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/misc_burp.flac
misc,misc_cineboom,7.923,2,349390,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/misc_cineboom.flac
misc,misc_crow,0.481,1,21196,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/misc_crow.flac
perc,perc_bell,6.719,2,296317,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/perc_bell.flac
perc,perc_bell2,5.455,2,240546,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/perc_bell2.flac
perc,perc_door,2.449,2,108005,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/perc_door.flac
perc,perc_impact1,1.12,2,49387,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/perc_impact1.flac
perc,perc_impact2,0.858,2,37828,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/perc_impact2.flac
perc,perc_snap,0.308,2,13581,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/perc_snap.flac
perc,perc_snap2,0.174,2,7680,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/perc_snap2.flac
perc,perc_swash,0.32,2,14090,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/perc_swash.flac
perc,perc_swoosh,0.619,2,27279,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/perc_swoosh.flac
perc,perc_till,2.666,1,117559,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/perc_till.flac
sn,sn_dolf,0.378,2,16652,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/sn_dolf.flac
sn,sn_dub,0.278,2,12265,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/sn_dub.flac
sn,sn_generic,0.545,2,24055,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/sn_generic.flac
sn,sn_zome,0.479,2,21113,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/sn_zome.flac
tabla,tabla_dhec,0.325,1,14336,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_dhec.flac
tabla,tabla_ghe1,0.591,1,26073,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_ghe1.flac
tabla,tabla_ghe2,2.661,1,117338,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_ghe2.flac
tabla,tabla_ghe3,2.391,1,105435,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_ghe3.flac
